Scenario_Name	EIR	Coverage	fundecay	kdecay	Decay	Halflife	Efficacy	SEED
iTPP3_ChemoLiver_TreatLiverBlood_replication_21	154	0	weibull	5.395333	exp	37.6971585900982	0.940004919908569	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_22	154	1	weibull	5.395333	exp	37.6971585900982	0.940004919908569	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_23	154	0	weibull	5.395333	exp	51.3824768793263	0.906371789480739	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_24	154	1	weibull	5.395333	exp	51.3824768793263	0.906371789480739	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_25	154	0	weibull	5.395333	exp	59.6744832465599	0.892146963262779	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_26	154	1	weibull	5.395333	exp	59.6744832465599	0.892146963262779	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_27	154	0	weibull	5.395333	exp	11.9401895052614	0.990733246763314	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_28	154	1	weibull	5.395333	exp	11.9401895052614	0.990733246763314	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_29	154	0	weibull	5.395333	exp	29.581957825595	0.826630092453824	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_30	154	1	weibull	5.395333	exp	29.581957825595	0.826630092453824	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_31	154	0	weibull	5.395333	exp	40.1492648246813	0.943996286938897	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_32	154	1	weibull	5.395333	exp	40.1492648246813	0.943996286938897	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_33	154	0	weibull	5.395333	exp	26.9055320659898	0.873878275343468	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_34	154	1	weibull	5.395333	exp	26.9055320659898	0.873878275343468	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_35	154	0	weibull	5.395333	exp	18.994980314722	0.907616861999318	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_36	154	1	weibull	5.395333	exp	18.994980314722	0.907616861999318	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_37	154	0	weibull	5.395333	exp	14.4467820162761	0.84403547892413	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_38	154	1	weibull	5.395333	exp	14.4467820162761	0.84403547892413	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_39	154	0	weibull	5.395333	exp	13.4120769342436	0.924687881251957	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_40	154	1	weibull	5.395333	exp	13.4120769342436	0.924687881251957	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_41	154	0	weibull	5.395333	exp	34.1701282357029	0.923477720147808	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_42	154	1	weibull	5.395333	exp	34.1701282357029	0.923477720147808	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_43	154	0	weibull	5.395333	exp	21.1398351245187	0.98275912281963	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_44	154	1	weibull	5.395333	exp	21.1398351245187	0.98275912281963	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_45	154	0	weibull	5.395333	exp	55.8194977389461	0.830598854787694	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_46	154	1	weibull	5.395333	exp	55.8194977389461	0.830598854787694	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_47	154	0	weibull	5.395333	exp	58.3480924128434	0.908484493097589	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_48	154	1	weibull	5.395333	exp	58.3480924128434	0.908484493097589	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_49	154	0	weibull	5.395333	exp	19.0336105174463	0.875969648744531	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_50	154	1	weibull	5.395333	exp	19.0336105174463	0.875969648744531	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_51	154	0	weibull	5.395333	exp	41.7305613909919	0.878558124071955	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_52	154	1	weibull	5.395333	exp	41.7305613909919	0.878558124071955	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_53	154	0	weibull	5.395333	exp	35.2996300772996	0.85166744281409	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_54	154	1	weibull	5.395333	exp	35.2996300772996	0.85166744281409	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_55	154	0	weibull	5.395333	exp	40.0255156631175	0.829613584213335	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_56	154	1	weibull	5.395333	exp	40.0255156631175	0.829613584213335	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_57	154	0	weibull	5.395333	exp	26.6682123218356	0.942556387986652	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_58	154	1	weibull	5.395333	exp	26.6682123218356	0.942556387986652	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_59	154	0	weibull	5.395333	exp	24.5441900090185	0.925354618078227	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_60	154	1	weibull	5.395333	exp	24.5441900090185	0.925354618078227	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_61	154	0	weibull	5.395333	exp	31.981671911986	0.876773743139853	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_62	154	1	weibull	5.395333	exp	31.981671911986	0.876773743139853	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_63	154	0	weibull	5.395333	exp	29.0447141349653	0.980236488707139	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_64	154	1	weibull	5.395333	exp	29.0447141349653	0.980236488707139	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_65	154	0	weibull	5.395333	exp	19.5886936579805	0.883502096211794	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_66	154	1	weibull	5.395333	exp	19.5886936579805	0.883502096211794	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_67	154	0	weibull	5.395333	exp	55.4612898399265	0.943332465522022	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_68	154	1	weibull	5.395333	exp	55.4612898399265	0.943332465522022	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_69	154	0	weibull	5.395333	exp	51.9553616664967	0.918818407882661	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_70	154	1	weibull	5.395333	exp	51.9553616664967	0.918818407882661	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_71	154	0	weibull	5.395333	exp	17.4902314760932	0.917960329651265	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_72	154	1	weibull	5.395333	exp	17.4902314760932	0.917960329651265	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_73	154	0	weibull	5.395333	exp	24.0546317738142	0.99974941182168	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_74	154	1	weibull	5.395333	exp	24.0546317738142	0.99974941182168	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_75	154	0	weibull	5.395333	exp	17.7402168088686	0.836918257425846	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_76	154	1	weibull	5.395333	exp	17.7402168088686	0.836918257425846	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_77	154	0	weibull	5.395333	exp	37.9998623788124	0.845540100317807	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_78	154	1	weibull	5.395333	exp	37.9998623788124	0.845540100317807	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_79	154	0	weibull	5.395333	exp	40.6992065573575	0.896061842601947	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_80	154	1	weibull	5.395333	exp	40.6992065573575	0.896061842601947	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_81	154	0	weibull	5.395333	exp	57.7496258133905	0.823866908242429	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_82	154	1	weibull	5.395333	exp	57.7496258133905	0.823866908242429	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_83	154	0	weibull	5.395333	exp	40.4826473521727	0.848106778103324	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_84	154	1	weibull	5.395333	exp	40.4826473521727	0.848106778103324	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_85	154	0	weibull	5.395333	exp	38.7477953105578	0.865285383978599	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_86	154	1	weibull	5.395333	exp	38.7477953105578	0.865285383978599	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_87	154	0	weibull	5.395333	exp	28.5640508094952	0.883860947306515	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_88	154	1	weibull	5.395333	exp	28.5640508094952	0.883860947306515	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_89	154	0	weibull	5.395333	exp	18.2329770462897	0.839412483579901	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_90	154	1	weibull	5.395333	exp	18.2329770462897	0.839412483579901	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_91	154	0	weibull	5.395333	exp	24.1093048443807	0.843688655864095	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_92	154	1	weibull	5.395333	exp	24.1093048443807	0.843688655864095	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_93	154	0	weibull	5.395333	exp	40.8129768698041	0.810308613069521	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_94	154	1	weibull	5.395333	exp	40.8129768698041	0.810308613069521	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_95	154	0	weibull	5.395333	exp	34.243555779253	0.954661793202782	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_96	154	1	weibull	5.395333	exp	34.243555779253	0.954661793202782	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_97	154	0	weibull	5.395333	exp	59.4201627165825	0.828906137773699	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_98	154	1	weibull	5.395333	exp	59.4201627165825	0.828906137773699	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_99	154	0	weibull	5.395333	exp	41.9304403611297	0.851109950462708	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_100	154	1	weibull	5.395333	exp	41.9304403611297	0.851109950462708	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_101	154	0	weibull	5.395333	exp	44.1508542889149	0.938122471919777	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_102	154	1	weibull	5.395333	exp	44.1508542889149	0.938122471919777	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_103	154	0	weibull	5.395333	exp	42.8540199860823	0.920624367861129	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_104	154	1	weibull	5.395333	exp	42.8540199860823	0.920624367861129	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_105	154	0	weibull	5.395333	exp	19.6889642085854	0.838219481829978	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_106	154	1	weibull	5.395333	exp	19.6889642085854	0.838219481829978	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_107	154	0	weibull	5.395333	exp	36.8395940773281	0.947222580058412	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_108	154	1	weibull	5.395333	exp	36.8395940773281	0.947222580058412	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_109	154	0	weibull	5.395333	exp	17.113786971223	0.941847837886551	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_110	154	1	weibull	5.395333	exp	17.113786971223	0.941847837886551	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_111	154	0	weibull	5.395333	exp	57.2225379593956	0.842111846327249	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_112	154	1	weibull	5.395333	exp	57.2225379593956	0.842111846327249	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_113	154	0	weibull	5.395333	exp	34.8310253057003	0.880289212676764	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_114	154	1	weibull	5.395333	exp	34.8310253057003	0.880289212676764	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_115	154	0	weibull	5.395333	exp	37.5319787075352	0.967676025884989	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_116	154	1	weibull	5.395333	exp	37.5319787075352	0.967676025884989	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_117	154	0	weibull	5.395333	exp	28.4808252221394	0.823122639159095	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_118	154	1	weibull	5.395333	exp	28.4808252221394	0.823122639159095	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_119	154	0	weibull	5.395333	exp	12.8508744235502	0.983417058803844	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_120	154	1	weibull	5.395333	exp	12.8508744235502	0.983417058803844	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_121	154	0	weibull	5.395333	exp	40.9407783560783	0.879842690096759	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_122	154	1	weibull	5.395333	exp	40.9407783560783	0.879842690096759	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_123	154	0	weibull	5.395333	exp	56.1557474048007	0.84116954971784	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_124	154	1	weibull	5.395333	exp	56.1557474048007	0.84116954971784	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_125	154	0	weibull	5.395333	exp	10.2575129239023	0.840486495286805	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_126	154	1	weibull	5.395333	exp	10.2575129239023	0.840486495286805	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_127	154	0	weibull	5.395333	exp	23.3505785771763	0.859831452346181	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_128	154	1	weibull	5.395333	exp	23.3505785771763	0.859831452346181	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_129	154	0	weibull	5.395333	exp	36.9383122767411	0.991535823200256	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_130	154	1	weibull	5.395333	exp	36.9383122767411	0.991535823200256	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_131	154	0	weibull	5.395333	exp	44.2045812367007	0.848876034016832	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_132	154	1	weibull	5.395333	exp	44.2045812367007	0.848876034016832	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_133	154	0	weibull	5.395333	exp	23.7840913679414	0.969525305720029	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_134	154	1	weibull	5.395333	exp	23.7840913679414	0.969525305720029	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_135	154	0	weibull	5.395333	exp	49.3740321705523	0.918120058681006	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_136	154	1	weibull	5.395333	exp	49.3740321705523	0.918120058681006	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_137	154	0	weibull	5.395333	exp	44.9604350620789	0.814484999752158	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_138	154	1	weibull	5.395333	exp	44.9604350620789	0.814484999752158	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_139	154	0	weibull	5.395333	exp	53.0411587871474	0.811549563522253	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_140	154	1	weibull	5.395333	exp	53.0411587871474	0.811549563522253	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_141	154	0	weibull	5.395333	exp	32.4550771622115	0.92971322445155	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_142	154	1	weibull	5.395333	exp	32.4550771622115	0.92971322445155	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_143	154	0	weibull	5.395333	exp	37.229640938302	0.998146437082381	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_144	154	1	weibull	5.395333	exp	37.229640938302	0.998146437082381	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_145	154	0	weibull	5.395333	exp	24.3237992035048	0.812297273239749	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_146	154	1	weibull	5.395333	exp	24.3237992035048	0.812297273239749	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_147	154	0	weibull	5.395333	exp	36.2318657574551	0.972776523435297	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_148	154	1	weibull	5.395333	exp	36.2318657574551	0.972776523435297	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_149	154	0	weibull	5.395333	exp	12.7205708001323	0.98757372785685	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_150	154	1	weibull	5.395333	exp	12.7205708001323	0.98757372785685	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_151	154	0	weibull	5.395333	exp	20.9422692083154	0.896989112966738	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_152	154	1	weibull	5.395333	exp	20.9422692083154	0.896989112966738	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_153	154	0	weibull	5.395333	exp	27.4074931324011	0.959150459787052	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_154	154	1	weibull	5.395333	exp	27.4074931324011	0.959150459787052	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_155	154	0	weibull	5.395333	exp	52.7757449897415	0.902644476788548	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_156	154	1	weibull	5.395333	exp	52.7757449897415	0.902644476788548	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_157	154	0	weibull	5.395333	exp	16.9802270296915	0.878018386876587	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_158	154	1	weibull	5.395333	exp	16.9802270296915	0.878018386876587	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_159	154	0	weibull	5.395333	exp	45.1103917892814	0.939898260180256	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_160	154	1	weibull	5.395333	exp	45.1103917892814	0.939898260180256	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_161	154	0	weibull	5.395333	exp	21.5413615588428	0.857505989170518	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_162	154	1	weibull	5.395333	exp	21.5413615588428	0.857505989170518	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_163	154	0	weibull	5.395333	exp	23.5191229320176	0.989053150645982	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_164	154	1	weibull	5.395333	exp	23.5191229320176	0.989053150645982	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_165	154	0	weibull	5.395333	exp	22.1380434092688	0.848604287898402	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_166	154	1	weibull	5.395333	exp	22.1380434092688	0.848604287898402	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_167	154	0	weibull	5.395333	exp	10.5493867158306	0.94971136400637	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_168	154	1	weibull	5.395333	exp	10.5493867158306	0.94971136400637	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_169	154	0	weibull	5.395333	exp	58.5156259379386	0.870880717860647	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_170	154	1	weibull	5.395333	exp	58.5156259379386	0.870880717860647	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_171	154	0	weibull	5.395333	exp	54.0626393252431	0.864517555345902	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_172	154	1	weibull	5.395333	exp	54.0626393252431	0.864517555345902	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_173	154	0	weibull	5.395333	exp	10.3732987005434	0.884471281738968	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_174	154	1	weibull	5.395333	exp	10.3732987005434	0.884471281738968	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_175	154	0	weibull	5.395333	exp	25.0351480715291	0.990856237036562	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_176	154	1	weibull	5.395333	exp	25.0351480715291	0.990856237036562	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_177	154	0	weibull	5.395333	exp	22.2053978533264	0.824252626380383	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_178	154	1	weibull	5.395333	exp	22.2053978533264	0.824252626380383	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_179	154	0	weibull	5.395333	exp	52.6125865757495	0.830084926457257	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_180	154	1	weibull	5.395333	exp	52.6125865757495	0.830084926457257	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_181	154	0	weibull	5.395333	exp	43.6355183336035	0.874878259865213	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_182	154	1	weibull	5.395333	exp	43.6355183336035	0.874878259865213	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_183	154	0	weibull	5.395333	exp	56.2532556428465	0.892541346501219	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_184	154	1	weibull	5.395333	exp	56.2532556428465	0.892541346501219	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_185	154	0	weibull	5.395333	exp	47.1250576243096	0.912559259816576	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_186	154	1	weibull	5.395333	exp	47.1250576243096	0.912559259816576	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_187	154	0	weibull	5.395333	exp	58.0028763795278	0.933432879399935	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_188	154	1	weibull	5.395333	exp	58.0028763795278	0.933432879399935	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_189	154	0	weibull	5.395333	exp	46.0466908623107	0.963450126901979	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_190	154	1	weibull	5.395333	exp	46.0466908623107	0.963450126901979	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_191	154	0	weibull	5.395333	exp	10.0321280700695	0.961041861527656	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_192	154	1	weibull	5.395333	exp	10.0321280700695	0.961041861527656	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_193	154	0	weibull	5.395333	exp	50.7813114626522	0.956913149109043	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_194	154	1	weibull	5.395333	exp	50.7813114626522	0.956913149109043	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_195	154	0	weibull	5.395333	exp	24.6728870807618	0.904830167148549	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_196	154	1	weibull	5.395333	exp	24.6728870807618	0.904830167148549	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_197	154	0	weibull	5.395333	exp	35.9027420430451	0.862944002659746	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_198	154	1	weibull	5.395333	exp	35.9027420430451	0.862944002659746	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_199	154	0	weibull	5.395333	exp	13.0182527394309	0.843598811329901	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_200	154	1	weibull	5.395333	exp	13.0182527394309	0.843598811329901	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_201	154	0	weibull	5.395333	exp	12.1637236347803	0.944601027125167	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_202	154	1	weibull	5.395333	exp	12.1637236347803	0.944601027125167	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_203	154	0	weibull	5.395333	exp	27.2177234710934	0.834489306983093	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_204	154	1	weibull	5.395333	exp	27.2177234710934	0.834489306983093	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_205	154	0	weibull	5.395333	exp	30.421978513692	0.817337551929834	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_206	154	1	weibull	5.395333	exp	30.421978513692	0.817337551929834	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_207	154	0	weibull	5.395333	exp	53.6039802760361	0.872539056466645	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_208	154	1	weibull	5.395333	exp	53.6039802760361	0.872539056466645	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_209	154	0	weibull	5.395333	exp	40.305130771735	0.87697838602303	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_210	154	1	weibull	5.395333	exp	40.305130771735	0.87697838602303	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_211	154	0	weibull	5.395333	exp	25.6369809513299	0.969777813611687	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_212	154	1	weibull	5.395333	exp	25.6369809513299	0.969777813611687	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_213	154	0	weibull	5.395333	exp	48.0433934952466	0.968806842578018	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_214	154	1	weibull	5.395333	exp	48.0433934952466	0.968806842578018	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_215	154	0	weibull	5.395333	exp	39.120530914846	0.895526648560615	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_216	154	1	weibull	5.395333	exp	39.120530914846	0.895526648560615	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_217	154	0	weibull	5.395333	exp	54.97644738743	0.964668768174543	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_218	154	1	weibull	5.395333	exp	54.97644738743	0.964668768174543	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_219	154	0	weibull	5.395333	exp	25.3290479555561	0.937949744649592	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_220	154	1	weibull	5.395333	exp	25.3290479555561	0.937949744649592	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_221	154	0	weibull	5.395333	exp	30.1900807324308	0.924345892213552	1
